record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments
"T","4.1","20060803","CDFW","CDWR","08","0601060905","3",,,,,"1","1","1998","19990525","19990604","6FCSUCAR CROC","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"12.26","113","N","5000","51333",,,"5000","782",,,,"0.015","5",,,
"T","4.1","20160926","CDFW","CDFW","08","060453","12",,,,,"1","1","2015","20160414","20160414","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","6.97",,"N","5000","28738","0000","32","5000","32","0000","97","C",,"19","900",,"Associated Tag Code=060734"
"T","4.1","20160926","CDFW","CDFW","08","060733","12",,,,,"1","1","2015","20160414","20160414","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","7.19",,"N","5000","536971",,,"5000","2402","0000","600","C",,"22","900",,
"T","4.1","20200113","CDFW","CDFW","08","060732","12",,,,,"1","1","2015","20160324","20160324","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","4.77",,"N","5000","462695","0000","1552","0000","1035",,,"C",,"16","900",,
"T","4.1","20160926","CDFW","CDFW","08","060734","12",,,,,"1","1","2015","20160414","20160414","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","6.97",,"N","5000","550781","0000","619","5000","619","0000","1856","C",,"19","900",,"Associated Tag Code=060453"
"T","4.1","20200113","CDFW","CDFW","08","068008","12",,,,,"1","1","2013","20140411","20140411","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA FRFH","G","H","P","FR","6.38",,"N","5000","7818",,,"5000","33","0000","33","C",,"12","950",,"Associated tag codes = 068696, 060562"
"T","4.1","20141031","CDFW","CDFW","08","068696","12",,,,,"1","1","2013","20140411","20140411","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA FRFH","G","H","P","FR","6.38",,"N","5000","78832",,,"5000","335","0000","335","C",,"12","950",,"Associated tag codes=060562,068008"
"T","4.1","20151002","CDFW","CDFW","08","060381","12",,,,,"1","1","2014","20150402","20150402","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","V","H","P","FR","9.08",,"N","5000","42414",,,"5000","238","0000","143","C",,"21","900",,"Associated Tag Code=068730"
"T","4.1","20151002","CDFW","CDFW","08","060654","12",,,,,"1","1","2014","20150318","20150319","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","5.36",,"N","5000","495041",,,"5000","2229","0000","2229","C",,"21","902",,
"T","4.1","20200113","CDFW","CDFW","08","068730","12",,,,,"1","1","2014","20150402","20150402","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","V","H","P","FR","9.08",,"N","5000","89379",,,"5000","505","0000","303","C",,"21","892",,"Associated Tag Code=060381"
"T","4.1","20151002","CDFW","CDFW","08","060479","12",,,,,"1","1","2014","20150402","20150402","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","7.08",,"N","5000","257849",,,"5000","2598","0000","289","C",,"20","904",,
"T","4.1","20151002","CDFW","CDFW","08","060567","12",,,,,"1","1","2014","20150402","20150402","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","6.76",,"N","5000","259334","0000","290","5000","580","0000","871","C",,"21","900",,
"T","4.1","20151002","CDFW","CDFW","08","060714","12",,,,,"1","1","2014","20150318","20150319","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","5.59",,"N","5000","492180","0000","1099","5000","5499","0000","550","C",,"22","910",,
"T","4.1","20151002","CDFW","CDFW","08","068699","12",,,,,"1","1","2014","20150402","20150402","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","E","FR","6.97",,"N","5000","54775","0000","61","5000","61","0000","123","C",,"21","900",,"300 fish released at sac river,hood. 400 released at freeport for experimental"
"T","4.1","20150616","CDFW","USFWS","08","060460","12",,,,,"1","1","2014","20150226","20150226","6FCSJAMR","6FCSAFEA FRFH","6FCSAFEA FRFH","G","H","E","FR","2.76","64","N","5000","54839",,,,,,,"C","0",,,,"Transported from Friant to HFB net pens on Feb 23 and released at 19:30."
"T","4.1","20060803","CDFW","CDWR","08","062403","12",,,,,"1","1","2003","20040519","20040528","6MOSFSPB","6FCSAFEA FRFH","6FCSAFEA","V","H","B",,"8.25","94","N","5000","113075",,,"5000","2308",,,,"0.02","7","200",,
"T","4.1","20060803","CDFW","CDWR","08","062405","12",,,,,"1","1","2003","20040521","20040528","6FCSAFEA","6FCSAFEA FRFH","6FCSAFEA","V","H","B",,"8.4","96","N","5000","112995",,,"5000","2897",,,,"0.025","7","200",,
"T","4.1","20060803","CDFW","CDWR","08","062407","12",,,,,"1","1","2003","20040519","20040520","6FCSAFEA","6FCSAFEA FRFH","6FCSAFEA","V","H","B",,"8.4","96","N","5000","115419",,,"5000","2355",,,,"0.02","5","200",,
"T","4.1","20060803","CDFW","CDWR","08","062402","12",,,,,"1","1","2003","20040519","20040528","6MOSFSPB","6FCSAFEA FRFH","6FCSAFEA","V","H","B",,"8.25","94","N","5000","115224",,,"5000","2352",,,,"0.02","9","200",,
